name,trait,condition,checkpoint,target,median_rank,best_rank
Maria,generous,control,distance_0_trigger_end,'generous' (leading-space),15811.5,10649
Maria,generous,control,distance_10_filler_end,'generous' (leading-space),39688.5,15156
Maria,generous,control,distance_1_filler_end,'generous' (leading-space),49179.5,28527
Maria,generous,control,distance_2_filler_end,'generous' (leading-space),16331.5,7327
Maria,generous,control,distance_3_filler_end,'generous' (leading-space),20906.5,9938
Maria,generous,control,distance_4_filler_end,'generous' (leading-space),17271.0,10418
Maria,generous,control,distance_5_filler_end,'generous' (leading-space),28407.0,18789
Maria,generous,control,distance_6_filler_end,'generous' (leading-space),31093.5,13771
Maria,generous,control,distance_7_filler_end,'generous' (leading-space),21082.0,9067
Maria,generous,control,distance_8_filler_end,'generous' (leading-space),29454.0,15508
Maria,generous,control,distance_9_filler_end,'generous' (leading-space),30039.5,17854
Maria,generous,control,reintro_entity_mention,'generous' (leading-space),30141.5,19528
Maria,generous,control,reintro_sentence_end,'generous' (leading-space),52464.0,34285
Maria,generous,direct,distance_0_trigger_end,'generous' (leading-space),80.0,23
Maria,generous,direct,distance_10_filler_end,'generous' (leading-space),42316.0,13582
Maria,generous,direct,distance_1_filler_end,'generous' (leading-space),68275.5,24232
Maria,generous,direct,distance_2_filler_end,'generous' (leading-space),17319.0,9322
Maria,generous,direct,distance_3_filler_end,'generous' (leading-space),19907.5,12721
Maria,generous,direct,distance_4_filler_end,'generous' (leading-space),15720.5,9803
Maria,generous,direct,distance_5_filler_end,'generous' (leading-space),24542.5,13957
Maria,generous,direct,distance_6_filler_end,'generous' (leading-space),28796.0,11497
Maria,generous,direct,distance_7_filler_end,'generous' (leading-space),23675.0,8809
Maria,generous,direct,distance_8_filler_end,'generous' (leading-space),30641.0,14039
Maria,generous,direct,distance_9_filler_end,'generous' (leading-space),29407.5,15997
Maria,generous,direct,reintro_entity_mention,'generous' (leading-space),13986.5,7825
Maria,generous,direct,reintro_sentence_end,'generous' (leading-space),53879.5,31469
Maria,generous,inferred,distance_0_trigger_end,'generous' (leading-space),768.0,300
Maria,generous,inferred,distance_10_filler_end,'generous' (leading-space),47872.5,11846
Maria,generous,inferred,distance_1_filler_end,'generous' (leading-space),86844.5,31983
Maria,generous,inferred,distance_2_filler_end,'generous' (leading-space),18222.5,12113
Maria,generous,inferred,distance_3_filler_end,'generous' (leading-space),24728.5,14693
Maria,generous,inferred,distance_4_filler_end,'generous' (leading-space),18318.0,9947
Maria,generous,inferred,distance_5_filler_end,'generous' (leading-space),29521.0,18198
Maria,generous,inferred,distance_6_filler_end,'generous' (leading-space),33753.5,12467
Maria,generous,inferred,distance_7_filler_end,'generous' (leading-space),27638.0,7528
Maria,generous,inferred,distance_8_filler_end,'generous' (leading-space),33393.5,13384
Maria,generous,inferred,distance_9_filler_end,'generous' (leading-space),33644.0,15555
Maria,generous,inferred,reintro_entity_mention,'generous' (leading-space),23261.0,10469
Maria,generous,inferred,reintro_sentence_end,'generous' (leading-space),58606.0,34009
Nadia,brave,control,distance_0_trigger_end,'brave' (leading-space),11502.5,3089
Nadia,brave,control,distance_10_filler_end,'brave' (leading-space),14016.5,5745
Nadia,brave,control,distance_1_filler_end,'brave' (leading-space),36082.5,19569
Nadia,brave,control,distance_2_filler_end,'brave' (leading-space),8197.5,1153
Nadia,brave,control,distance_3_filler_end,'brave' (leading-space),10720.5,4178
Nadia,brave,control,distance_4_filler_end,'brave' (leading-space),10992.0,833
Nadia,brave,control,distance_5_filler_end,'brave' (leading-space),9865.5,2337
Nadia,brave,control,distance_6_filler_end,'brave' (leading-space),19685.5,9120
Nadia,brave,control,distance_7_filler_end,'brave' (leading-space),7072.5,1105
Nadia,brave,control,distance_8_filler_end,'brave' (leading-space),10654.5,3381
Nadia,brave,control,distance_9_filler_end,'brave' (leading-space),10401.5,3009
Nadia,brave,control,reintro_entity_mention,'brave' (leading-space),11474.0,2790
Nadia,brave,control,reintro_sentence_end,'brave' (leading-space),6975.5,1718
Nadia,brave,direct,distance_0_trigger_end,'brave' (leading-space),11.5,5
Nadia,brave,direct,distance_10_filler_end,'brave' (leading-space),13892.0,5296
Nadia,brave,direct,distance_1_filler_end,'brave' (leading-space),21135.0,6493
Nadia,brave,direct,distance_2_filler_end,'brave' (leading-space),5282.0,928
Nadia,brave,direct,distance_3_filler_end,'brave' (leading-space),7966.5,2917
Nadia,brave,direct,distance_4_filler_end,'brave' (leading-space),7593.0,1042
Nadia,brave,direct,distance_5_filler_end,'brave' (leading-space),7350.5,1897
Nadia,brave,direct,distance_6_filler_end,'brave' (leading-space),14757.5,6756
Nadia,brave,direct,distance_7_filler_end,'brave' (leading-space),5636.0,1141
Nadia,brave,direct,distance_8_filler_end,'brave' (leading-space),9352.5,3252
Nadia,brave,direct,distance_9_filler_end,'brave' (leading-space),9185.0,3251
Nadia,brave,direct,reintro_entity_mention,'brave' (leading-space),10085.0,1581
Nadia,brave,direct,reintro_sentence_end,'brave' (leading-space),5015.0,1674
Nadia,brave,inferred,distance_0_trigger_end,'brave' (leading-space),66.0,28
Nadia,brave,inferred,distance_10_filler_end,'brave' (leading-space),15600.0,5292
Nadia,brave,inferred,distance_1_filler_end,'brave' (leading-space),32747.5,15327
Nadia,brave,inferred,distance_2_filler_end,'brave' (leading-space),8327.0,1056
Nadia,brave,inferred,distance_3_filler_end,'brave' (leading-space),10653.0,4339
Nadia,brave,inferred,distance_4_filler_end,'brave' (leading-space),11655.5,1336
Nadia,brave,inferred,distance_5_filler_end,'brave' (leading-space),12771.5,5148
Nadia,brave,inferred,distance_6_filler_end,'brave' (leading-space),24166.5,12911
Nadia,brave,inferred,distance_7_filler_end,'brave' (leading-space),10639.5,1994
Nadia,brave,inferred,distance_8_filler_end,'brave' (leading-space),11550.0,5002
Nadia,brave,inferred,distance_9_filler_end,'brave' (leading-space),13548.0,4161
Nadia,brave,inferred,reintro_entity_mention,'brave' (leading-space),8161.0,1986
Nadia,brave,inferred,reintro_sentence_end,'brave' (leading-space),11711.5,4327
Otto,greedy,control,distance_0_trigger_end,'greedy' (bare),83497.5,21784
Otto,greedy,control,distance_0_trigger_end,'greedy' (leading-space),17145.0,5009
Otto,greedy,control,distance_10_filler_end,'greedy' (bare),72279.0,45235
Otto,greedy,control,distance_10_filler_end,'greedy' (leading-space),25534.5,14751
Otto,greedy,control,distance_1_filler_end,'greedy' (bare),83404.0,33764
Otto,greedy,control,distance_1_filler_end,'greedy' (leading-space),46046.0,30472
Otto,greedy,control,distance_2_filler_end,'greedy' (bare),55038.0,16721
Otto,greedy,control,distance_2_filler_end,'greedy' (leading-space),15048.5,8236
Otto,greedy,control,distance_3_filler_end,'greedy' (bare),87784.0,51710
Otto,greedy,control,distance_3_filler_end,'greedy' (leading-space),23881.0,13692
Otto,greedy,control,distance_4_filler_end,'greedy' (bare),70072.0,39809
Otto,greedy,control,distance_4_filler_end,'greedy' (leading-space),19580.0,9866
Otto,greedy,control,distance_5_filler_end,'greedy' (bare),99187.5,59415
Otto,greedy,control,distance_5_filler_end,'greedy' (leading-space),34354.0,23066
Otto,greedy,control,distance_6_filler_end,'greedy' (bare),84363.0,48640
Otto,greedy,control,distance_6_filler_end,'greedy' (leading-space),36488.5,18503
Otto,greedy,control,distance_7_filler_end,'greedy' (bare),64334.0,20385
Otto,greedy,control,distance_7_filler_end,'greedy' (leading-space),21765.0,12139
Otto,greedy,control,distance_8_filler_end,'greedy' (bare),82885.5,40900
Otto,greedy,control,distance_8_filler_end,'greedy' (leading-space),32576.5,16672
Otto,greedy,control,distance_9_filler_end,'greedy' (bare),78768.0,30378
Otto,greedy,control,distance_9_filler_end,'greedy' (leading-space),20776.0,12798
Otto,greedy,control,reintro_entity_mention,'greedy' (bare),80618.0,11619
Otto,greedy,control,reintro_entity_mention,'greedy' (leading-space),14956.5,618
Otto,greedy,control,reintro_sentence_end,'greedy' (bare),64237.0,7099
Otto,greedy,control,reintro_sentence_end,'greedy' (leading-space),37095.0,8981
Otto,greedy,direct,distance_0_trigger_end,'greedy' (bare),890.0,538
Otto,greedy,direct,distance_0_trigger_end,'greedy' (leading-space),37.0,2
Otto,greedy,direct,distance_10_filler_end,'greedy' (bare),48170.5,25562
Otto,greedy,direct,distance_10_filler_end,'greedy' (leading-space),14812.0,5651
Otto,greedy,direct,distance_1_filler_end,'greedy' (bare),69656.0,19389
Otto,greedy,direct,distance_1_filler_end,'greedy' (leading-space),25694.0,13823
Otto,greedy,direct,distance_2_filler_end,'greedy' (bare),36266.5,14137
Otto,greedy,direct,distance_2_filler_end,'greedy' (leading-space),6940.5,3190
Otto,greedy,direct,distance_3_filler_end,'greedy' (bare),74293.5,44029
Otto,greedy,direct,distance_3_filler_end,'greedy' (leading-space),16232.0,7857
Otto,greedy,direct,distance_4_filler_end,'greedy' (bare),58835.0,41935
Otto,greedy,direct,distance_4_filler_end,'greedy' (leading-space),15516.5,8844
Otto,greedy,direct,distance_5_filler_end,'greedy' (bare),107568.5,55978
Otto,greedy,direct,distance_5_filler_end,'greedy' (leading-space),29492.0,15812
Otto,greedy,direct,distance_6_filler_end,'greedy' (bare),81524.0,40186
Otto,greedy,direct,distance_6_filler_end,'greedy' (leading-space),21213.5,9087
Otto,greedy,direct,distance_7_filler_end,'greedy' (bare),47346.5,24389
Otto,greedy,direct,distance_7_filler_end,'greedy' (leading-space),11417.0,7428
Otto,greedy,direct,distance_8_filler_end,'greedy' (bare),57145.0,30076
Otto,greedy,direct,distance_8_filler_end,'greedy' (leading-space),20018.0,6038
Otto,greedy,direct,distance_9_filler_end,'greedy' (bare),57254.0,22640
Otto,greedy,direct,distance_9_filler_end,'greedy' (leading-space),13294.5,8123
Otto,greedy,direct,reintro_entity_mention,'greedy' (bare),15246.0,2690
Otto,greedy,direct,reintro_entity_mention,'greedy' (leading-space),1201.5,27
Otto,greedy,direct,reintro_sentence_end,'greedy' (bare),27953.0,7907
Otto,greedy,direct,reintro_sentence_end,'greedy' (leading-space),7988.0,4708
Otto,greedy,inferred,distance_0_trigger_end,'greedy' (bare),37995.5,3114
Otto,greedy,inferred,distance_0_trigger_end,'greedy' (leading-space),1550.5,898
Otto,greedy,inferred,distance_10_filler_end,'greedy' (bare),44875.5,24508
Otto,greedy,inferred,distance_10_filler_end,'greedy' (leading-space),17240.0,7079
Otto,greedy,inferred,distance_1_filler_end,'greedy' (bare),79553.5,39363
Otto,greedy,inferred,distance_1_filler_end,'greedy' (leading-space),51984.5,34179
Otto,greedy,inferred,distance_2_filler_end,'greedy' (bare),52894.5,14171
Otto,greedy,inferred,distance_2_filler_end,'greedy' (leading-space),16031.0,7721
Otto,greedy,inferred,distance_3_filler_end,'greedy' (bare),82972.5,43019
Otto,greedy,inferred,distance_3_filler_end,'greedy' (leading-space),25401.0,13282
Otto,greedy,inferred,distance_4_filler_end,'greedy' (bare),69568.5,34302
Otto,greedy,inferred,distance_4_filler_end,'greedy' (leading-space),21681.5,11749
Otto,greedy,inferred,distance_5_filler_end,'greedy' (bare),99140.0,52403
Otto,greedy,inferred,distance_5_filler_end,'greedy' (leading-space),37572.0,23182
Otto,greedy,inferred,distance_6_filler_end,'greedy' (bare),88073.5,40585
Otto,greedy,inferred,distance_6_filler_end,'greedy' (leading-space),36144.5,22673
Otto,greedy,inferred,distance_7_filler_end,'greedy' (bare),59588.5,18954
Otto,greedy,inferred,distance_7_filler_end,'greedy' (leading-space),18302.5,9122
Otto,greedy,inferred,distance_8_filler_end,'greedy' (bare),74352.0,35915
Otto,greedy,inferred,distance_8_filler_end,'greedy' (leading-space),29301.5,14265
Otto,greedy,inferred,distance_9_filler_end,'greedy' (bare),74471.5,14939
Otto,greedy,inferred,distance_9_filler_end,'greedy' (leading-space),16749.0,11362
Otto,greedy,inferred,reintro_entity_mention,'greedy' (bare),42952.0,4837
Otto,greedy,inferred,reintro_entity_mention,'greedy' (leading-space),7772.0,125
Otto,greedy,inferred,reintro_sentence_end,'greedy' (bare),55170.0,8209
Otto,greedy,inferred,reintro_sentence_end,'greedy' (leading-space),26408.0,7852
Peter,patient,control,distance_0_trigger_end,'patient' (bare),102490.0,77148
Peter,patient,control,distance_0_trigger_end,'patient' (leading-space),24735.5,12856
Peter,patient,control,distance_10_filler_end,'patient' (bare),97175.0,39572
Peter,patient,control,distance_10_filler_end,'patient' (leading-space),33329.5,17829
Peter,patient,control,distance_1_filler_end,'patient' (bare),132066.0,60189
Peter,patient,control,distance_1_filler_end,'patient' (leading-space),79489.0,42826
Peter,patient,control,distance_2_filler_end,'patient' (bare),74239.0,27055
Peter,patient,control,distance_2_filler_end,'patient' (leading-space),24822.0,5292
Peter,patient,control,distance_3_filler_end,'patient' (bare),146423.0,81774
Peter,patient,control,distance_3_filler_end,'patient' (leading-space),51804.0,22579
Peter,patient,control,distance_4_filler_end,'patient' (bare),92765.5,45517
Peter,patient,control,distance_4_filler_end,'patient' (leading-space),26777.5,9838
Peter,patient,control,distance_5_filler_end,'patient' (bare),76591.0,35227
Peter,patient,control,distance_5_filler_end,'patient' (leading-space),19328.5,6824
Peter,patient,control,distance_6_filler_end,'patient' (bare),46564.5,18004
Peter,patient,control,distance_6_filler_end,'patient' (leading-space),13692.5,1760
Peter,patient,control,distance_7_filler_end,'patient' (bare),109099.5,37744
Peter,patient,control,distance_7_filler_end,'patient' (leading-space),29073.5,6911
Peter,patient,control,distance_8_filler_end,'patient' (bare),146707.5,57560
Peter,patient,control,distance_8_filler_end,'patient' (leading-space),55360.0,35009
Peter,patient,control,distance_9_filler_end,'patient' (bare),118591.5,56623
Peter,patient,control,distance_9_filler_end,'patient' (leading-space),24638.5,10362
Peter,patient,control,reintro_entity_mention,'patient' (bare),181060.5,133375
Peter,patient,control,reintro_entity_mention,'patient' (leading-space),44899.0,19023
Peter,patient,control,reintro_sentence_end,'patient' (bare),63083.5,14680
Peter,patient,control,reintro_sentence_end,'patient' (leading-space),36945.5,9224
Peter,patient,direct,distance_0_trigger_end,'patient' (bare),6093.5,1608
Peter,patient,direct,distance_0_trigger_end,'patient' (leading-space),368.0,65
Peter,patient,direct,distance_10_filler_end,'patient' (bare),102771.5,38192
Peter,patient,direct,distance_10_filler_end,'patient' (leading-space),32022.0,18029
Peter,patient,direct,distance_1_filler_end,'patient' (bare),159695.0,81172
Peter,patient,direct,distance_1_filler_end,'patient' (leading-space),79599.5,42661
Peter,patient,direct,distance_2_filler_end,'patient' (bare),105927.5,39556
Peter,patient,direct,distance_2_filler_end,'patient' (leading-space),34470.0,7260
Peter,patient,direct,distance_3_filler_end,'patient' (bare),149117.5,94602
Peter,patient,direct,distance_3_filler_end,'patient' (leading-space),49555.0,20560
Peter,patient,direct,distance_4_filler_end,'patient' (bare),90892.5,48815
Peter,patient,direct,distance_4_filler_end,'patient' (leading-space),23753.0,7133
Peter,patient,direct,distance_5_filler_end,'patient' (bare),78234.0,37840
Peter,patient,direct,distance_5_filler_end,'patient' (leading-space),16358.0,7355
Peter,patient,direct,distance_6_filler_end,'patient' (bare),45449.0,16882
Peter,patient,direct,distance_6_filler_end,'patient' (leading-space),9238.0,1346
Peter,patient,direct,distance_7_filler_end,'patient' (bare),116250.5,40188
Peter,patient,direct,distance_7_filler_end,'patient' (leading-space),26948.5,6987
Peter,patient,direct,distance_8_filler_end,'patient' (bare),146449.5,62717
Peter,patient,direct,distance_8_filler_end,'patient' (leading-space),46541.5,28611
Peter,patient,direct,distance_9_filler_end,'patient' (bare),117874.5,59431
Peter,patient,direct,distance_9_filler_end,'patient' (leading-space),20759.0,9707
Peter,patient,direct,reintro_entity_mention,'patient' (bare),171639.5,112478
Peter,patient,direct,reintro_entity_mention,'patient' (leading-space),34990.5,17245
Peter,patient,direct,reintro_sentence_end,'patient' (bare),52859.0,15107
Peter,patient,direct,reintro_sentence_end,'patient' (leading-space),24519.5,9188
Peter,patient,inferred,distance_0_trigger_end,'patient' (bare),73697.0,43234
Peter,patient,inferred,distance_0_trigger_end,'patient' (leading-space),21658.0,12599
Peter,patient,inferred,distance_10_filler_end,'patient' (bare),97631.0,35456
Peter,patient,inferred,distance_10_filler_end,'patient' (leading-space),32446.0,20036
Peter,patient,inferred,distance_1_filler_end,'patient' (bare),141583.0,61114
Peter,patient,inferred,distance_1_filler_end,'patient' (leading-space),72318.0,34840
Peter,patient,inferred,distance_2_filler_end,'patient' (bare),97201.5,31935
Peter,patient,inferred,distance_2_filler_end,'patient' (leading-space),29554.0,4984
Peter,patient,inferred,distance_3_filler_end,'patient' (bare),131756.0,69233
Peter,patient,inferred,distance_3_filler_end,'patient' (leading-space),44441.5,18688
Peter,patient,inferred,distance_4_filler_end,'patient' (bare),97443.5,52343
Peter,patient,inferred,distance_4_filler_end,'patient' (leading-space),24971.0,9074
Peter,patient,inferred,distance_5_filler_end,'patient' (bare),73259.5,35360
Peter,patient,inferred,distance_5_filler_end,'patient' (leading-space),18210.0,6856
Peter,patient,inferred,distance_6_filler_end,'patient' (bare),48728.5,17143
Peter,patient,inferred,distance_6_filler_end,'patient' (leading-space),13751.5,1258
Peter,patient,inferred,distance_7_filler_end,'patient' (bare),115609.0,40498
Peter,patient,inferred,distance_7_filler_end,'patient' (leading-space),28637.5,7818
Peter,patient,inferred,distance_8_filler_end,'patient' (bare),146520.5,61907
Peter,patient,inferred,distance_8_filler_end,'patient' (leading-space),46614.0,29499
Peter,patient,inferred,distance_9_filler_end,'patient' (bare),116095.5,57307
Peter,patient,inferred,distance_9_filler_end,'patient' (leading-space),21412.0,9099
Peter,patient,inferred,reintro_entity_mention,'patient' (bare),191976.5,142327
Peter,patient,inferred,reintro_entity_mention,'patient' (leading-space),42770.5,19722
Peter,patient,inferred,reintro_sentence_end,'patient' (bare),66161.0,17950
Peter,patient,inferred,reintro_sentence_end,'patient' (leading-space),34943.0,10049
Simon,curious,control,distance_0_trigger_end,'curious' (leading-space),3867.5,404
Simon,curious,control,distance_10_filler_end,'curious' (leading-space),11501.0,2908
Simon,curious,control,distance_1_filler_end,'curious' (leading-space),24934.0,14286
Simon,curious,control,distance_2_filler_end,'curious' (leading-space),3195.0,429
Simon,curious,control,distance_3_filler_end,'curious' (leading-space),3399.5,1126
Simon,curious,control,distance_4_filler_end,'curious' (leading-space),4948.5,2067
Simon,curious,control,distance_5_filler_end,'curious' (leading-space),8722.5,3982
Simon,curious,control,distance_6_filler_end,'curious' (leading-space),10723.5,3435
Simon,curious,control,distance_7_filler_end,'curious' (leading-space),6273.0,2340
Simon,curious,control,distance_8_filler_end,'curious' (leading-space),5471.0,2338
Simon,curious,control,distance_9_filler_end,'curious' (leading-space),2990.5,1053
Simon,curious,control,reintro_entity_mention,'curious' (leading-space),2031.5,521
Simon,curious,control,reintro_sentence_end,'curious' (leading-space),7278.0,719
Simon,curious,direct,distance_0_trigger_end,'curious' (leading-space),3.0,2
Simon,curious,direct,distance_10_filler_end,'curious' (leading-space),10391.0,1402
Simon,curious,direct,distance_1_filler_end,'curious' (leading-space),4151.5,2080
Simon,curious,direct,distance_2_filler_end,'curious' (leading-space),1348.5,274
Simon,curious,direct,distance_3_filler_end,'curious' (leading-space),1701.5,440
Simon,curious,direct,distance_4_filler_end,'curious' (leading-space),3521.5,1810
Simon,curious,direct,distance_5_filler_end,'curious' (leading-space),4040.5,1839
Simon,curious,direct,distance_6_filler_end,'curious' (leading-space),5627.0,1187
Simon,curious,direct,distance_7_filler_end,'curious' (leading-space),2808.0,1174
Simon,curious,direct,distance_8_filler_end,'curious' (leading-space),2185.0,885
Simon,curious,direct,distance_9_filler_end,'curious' (leading-space),1356.0,484
Simon,curious,direct,reintro_entity_mention,'curious' (leading-space),603.5,85
Simon,curious,direct,reintro_sentence_end,'curious' (leading-space),1701.5,329
Simon,curious,inferred,distance_0_trigger_end,'curious' (leading-space),44.0,6
Simon,curious,inferred,distance_10_filler_end,'curious' (leading-space),16476.0,3922
Simon,curious,inferred,distance_1_filler_end,'curious' (leading-space),21227.0,6775
Simon,curious,inferred,distance_2_filler_end,'curious' (leading-space),7360.5,637
Simon,curious,inferred,distance_3_filler_end,'curious' (leading-space),11383.5,3271
Simon,curious,inferred,distance_4_filler_end,'curious' (leading-space),9291.0,4635
Simon,curious,inferred,distance_5_filler_end,'curious' (leading-space),11141.5,5927
Simon,curious,inferred,distance_6_filler_end,'curious' (leading-space),14262.0,6082
Simon,curious,inferred,distance_7_filler_end,'curious' (leading-space),8593.5,3819
Simon,curious,inferred,distance_8_filler_end,'curious' (leading-space),8207.5,3325
Simon,curious,inferred,distance_9_filler_end,'curious' (leading-space),5007.5,1890
Simon,curious,inferred,reintro_entity_mention,'curious' (leading-space),2286.0,391
Simon,curious,inferred,reintro_sentence_end,'curious' (leading-space),5807.5,823
